UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;INDAIAL;60491;34691;0;1771;362;4483;2668;0;68;122;9834;3068;135;0;1726;381;4;74;0;69;4;1031
SC;IOMERE;2701;1273;0;199;94;425;95;0;0;9;333;95;4;0;43;92;0;3;0;0;1;35
SC;IPIRA;4242;2325;0;149;31;468;123;0;2;9;723;246;27;0;76;28;0;0;0;1;0;34
SC;IPORA DO OESTE;8727;3911;0;377;274;962;346;0;0;31;1670;338;58;0;211;386;4;8;0;0;1;150
SC;IPUACU;4144;2224;0;157;39;475;117;0;2;18;772;119;45;0;88;48;0;3;0;0;0;37
SC;IPUMIRIM;6341;3196;0;320;105;711;194;0;2;37;1195;174;32;0;76;246;0;0;0;3;1;49
SC;IRACEMINHA;3354;1769;0;141;38;442;109;0;0;8;593;77;23;0;82;46;0;0;0;0;1;25
SC;IRANI;8378;4795;0;520;253;1035;239;0;4;35;772;130;78;0;162;261;1;4;0;3;3;83
SC;IRATI;1689;836;0;68;19;201;26;0;2;8;414;49;8;0;22;27;0;1;0;0;0;8
SC;IRINEOPOLIS;8205;4215;0;361;56;1211;224;0;0;13;1600;158;28;0;199;46;1;2;0;7;4;80
SC;ITA;5744;3094;0;139;56;697;222;0;2;21;843;276;44;0;204;46;1;7;0;1;3;88
SC;ITAIOPOLIS;18093;9536;0;854;74;2132;519;0;2;53;3732;426;130;0;405;65;1;3;0;6;2;153
SC;ITAJAI;219136;101508;0;5982;5803;12912;9245;1;320;347;38694;23770;584;0;5317;9552;16;234;2;93;25;4731
SC;ITAPEMA;61937;30237;0;875;198;5245;4009;0;41;101;10607;4787;71;0;1509;223;5;161;0;27;17;3824
SC;ITAPIRANGA;15341;7186;0;474;188;1374;550;0;1;24;3602;1070;112;0;320;222;1;7;0;1;0;209
SC;ITAPOA;20224;10009;0;377;376;1988;1092;0;17;40;3177;822;53;0;800;633;1;45;1;13;11;769
SC;ITUPORANGA;26429;13863;0;954;644;2805;1038;0;3;41;3414;1154;94;0;783;1050;2;43;0;27;0;514
SC;JABORA;3357;1824;0;222;32;483;101;0;1;18;381;91;29;0;76;52;2;0;0;2;0;43
SC;JACINTO MACHADO;10077;4402;0;496;150;1070;272;0;6;20;2500;473;46;0;289;188;0;11;0;3;1;150
SC;JAGUARUNA;18830;9540;0;635;195;1606;705;0;5;36;3328;1032;119;0;862;227;3;45;0;10;5;477
SC;JARAGUA DO SUL;141458;81508;0;2883;771;10426;7518;0;112;262;21413;7499;471;1;3707;977;28;216;0;64;18;3584
SC;JARDINOPOLIS;1509;837;0;35;11;182;36;0;1;9;297;38;7;0;27;17;0;2;0;0;0;10
SC;JOACABA;28131;15228;0;873;262;2838;1431;1;4;65;3856;1982;52;0;487;335;2;16;0;40;8;651
SC;JOINVILLE;489122;300413;0;9173;4400;29068;24664;2;296;1019;69352;16417;1094;1;15280;6658;57;651;0;435;41;10101
SC;JOSE BOITEUX;4057;2183;0;159;30;364;116;0;1;26;832;137;19;0;125;31;0;3;0;5;1;25
SC;JUPIA;1941;944;0;79;20;290;34;0;2;5;398;67;12;0;30;30;0;1;0;3;0;26
SC;LACERDOPOLIS;2135;1025;0;137;84;292;57;0;0;8;283;78;9;0;48;90;0;2;0;1;0;21
SC;LAGEADO GRANDE;1276;631;0;46;20;184;36;0;1;5;244;32;2;0;42;25;0;0;0;0;0;8
SC;LAGES;135874;83393;0;3906;1527;12283;5914;0;35;299;16437;4046;445;0;3307;2061;16;113;0;45;17;2030
SC;LAGUNA;32933;17923;0;576;125;2024;1441;0;40;120;6536;2360;86;0;747;195;10;65;0;9;5;671
SC;LAURENTINO;6833;3464;0;342;48;791;249;0;1;12;982;490;10;0;277;71;0;11;0;1;1;83
SC;LAURO MULLER;15819;7503;0;466;414;1066;414;0;7;45;2886;610;58;0;831;1326;1;9;0;6;1;176
SC;LEBON REGIS;7765;4917;0;358;50;900;258;0;1;38;828;91;95;0;98;63;0;3;0;1;2;62
SC;LEOBERTO LEAL;2945;1294;0;150;30;379;67;0;0;11;802;77;4;0;66;21;0;0;0;2;1;41
SC;LINDOIA DO SUL;3542;1821;0;172;56;448;124;0;0;16;643;101;41;0;36;60;0;0;0;0;0;24
SC;LONTRAS;10777;5611;0;418;75;1101;399;0;6;29;1811;620;52;0;413;87;1;15;0;2;0;137
SC;LUIZ ALVES;12370;5939;0;565;100;1366;336;0;0;21;2449;856;33;0;376;151;1;8;0;7;0;162
SC;LUZERNA;5758;2994;0;208;122;669;206;0;1;18;845;309;27;0;111;161;1;2;0;10;0;74
SC;MACIEIRA;1276;677;0;96;2;219;38;0;0;9;170;9;17;0;23;9;0;0;0;0;0;7
SC;MAFRA;49473;26359;0;1583;482;5164;1954;1;15;108;8667;1945;165;0;1699;573;10;48;0;10;6;684
SC;MAJOR GERCINO;2669;1234;0;172;10;304;78;0;1;12;567;173;12;0;59;12;0;2;0;10;0;23
SC;MAJOR VIEIRA;5818;2717;0;247;27;781;116;0;1;7;1510;225;21;0;91;43;0;1;0;0;1;30
SC;MARACAJA;7065;3554;0;266;179;500;191;0;4;7;1420;347;18;0;202;289;0;8;0;0;1;79
SC;MARAVILHA;26260;12870;0;1059;590;2630;1168;0;9;43;3637;1931;97;0;765;952;2;23;0;10;7;467
SC;MAREMA;1721;927;0;79;23;286;46;0;1;6;241;36;10;0;25;20;0;2;0;1;0;18
